cce_loss,cce_accuracy,disc_loss,gan_loss
"tf.Tensor(22.772276, shape=(), dtype=float32)","tf.Tensor(0.51429075, shape=(), dtype=float32)","tf.Tensor(0.0012485316, shape=(), dtype=float32)","tf.Tensor(7.3048058, shape=(), dtype=float32)"
"tf.Tensor(22.625593, shape=(), dtype=float32)","tf.Tensor(0.5161189, shape=(), dtype=float32)","tf.Tensor(0.0012122418, shape=(), dtype=float32)","tf.Tensor(7.3606443, shape=(), dtype=float32)"
"tf.Tensor(22.507336, shape=(), dtype=float32)","tf.Tensor(0.51866376, shape=(), dtype=float32)","tf.Tensor(0.001186339, shape=(), dtype=float32)","tf.Tensor(7.39479, shape=(), dtype=float32)"
"tf.Tensor(22.594837, shape=(), dtype=float32)","tf.Tensor(0.5171435, shape=(), dtype=float32)","tf.Tensor(0.0011776667, shape=(), dtype=float32)","tf.Tensor(7.364559, shape=(), dtype=float32)"
"tf.Tensor(22.52605, shape=(), dtype=float32)","tf.Tensor(0.5186276, shape=(), dtype=float32)","tf.Tensor(0.0011540214, shape=(), dtype=float32)","tf.Tensor(7.386046, shape=(), dtype=float32)"
"tf.Tensor(22.503403, shape=(), dtype=float32)","tf.Tensor(0.51873964, shape=(), dtype=float32)","tf.Tensor(0.0011424867, shape=(), dtype=float32)","tf.Tensor(7.3673854, shape=(), dtype=float32)"
"tf.Tensor(22.523045, shape=(), dtype=float32)","tf.Tensor(0.5189383, shape=(), dtype=float32)","tf.Tensor(0.0011231602, shape=(), dtype=float32)","tf.Tensor(7.369204, shape=(), dtype=float32)"
"tf.Tensor(22.516083, shape=(), dtype=float32)","tf.Tensor(0.51980495, shape=(), dtype=float32)","tf.Tensor(0.0011025724, shape=(), dtype=float32)","tf.Tensor(7.3798976, shape=(), dtype=float32)"
"tf.Tensor(22.473131, shape=(), dtype=float32)","tf.Tensor(0.5205335, shape=(), dtype=float32)","tf.Tensor(0.001081302, shape=(), dtype=float32)","tf.Tensor(7.397256, shape=(), dtype=float32)"
"tf.Tensor(22.525917, shape=(), dtype=float32)","tf.Tensor(0.5203766, shape=(), dtype=float32)","tf.Tensor(0.0010605394, shape=(), dtype=float32)","tf.Tensor(7.417199, shape=(), dtype=float32)"
