cce_loss,cce_accuracy,disc_loss,gan_loss
"tf.Tensor(44.455887, shape=(), dtype=float32)","tf.Tensor(0.4592767, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(44.497704, shape=(), dtype=float32)","tf.Tensor(0.45875096, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(44.548435, shape=(), dtype=float32)","tf.Tensor(0.45793375, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(44.567158, shape=(), dtype=float32)","tf.Tensor(0.4577433, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(44.624943, shape=(), dtype=float32)","tf.Tensor(0.45697346, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(29.187656, shape=(), dtype=float32)","tf.Tensor(0.7243402, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(44.07039, shape=(), dtype=float32)","tf.Tensor(0.4593169, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(44.66625, shape=(), dtype=float32)","tf.Tensor(0.45179775, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(43.976597, shape=(), dtype=float32)","tf.Tensor(0.4637686, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(44.463493, shape=(), dtype=float32)","tf.Tensor(0.45759994, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(45.098503, shape=(), dtype=float32)","tf.Tensor(0.44865888, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(44.962963, shape=(), dtype=float32)","tf.Tensor(0.45145673, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
"tf.Tensor(44.60118, shape=(), dtype=float32)","tf.Tensor(0.45660645, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
